"id_product";"product";"Id_lang"
268;"100 ml OCP Canon BJC-50/55/70/80/85 (BCI-11 Black) (Black)";1
269;"100 ml OCP Canon BJC-50/55/70/80/85 (BCI-11 Color) (Cyan)";1
270;"100 ml OCP Canon BJC-50/55/70/80/85 (BCI-11 Color) (Magenta)";1
271;"100 ml OCP Canon BJC-50/55/70/80/85 (BCI-11 Color) (Yellow)";1
272;"100 ml OCP Canon BJC-8200 Photo (BCI-6 Bk) (Black)";1
273;"100 ml OCP Canon BJC-8200 Photo (BCI-6 C) (Cyan)";1
274;"100 ml OCP Canon BJC-8200 Photo (BCI-6 M) (Magenta)";1
275;"100 ml OCP Canon BJC-8200 Photo (BCI-6 PC) (Light Cyan)";1
276;"100 ml OCP Canon BJC-8200 Photo (BCI-6 PM) (Light Magenta)";1
277;"100 ml OCP Canon BJC-8200 Photo (BCI-6 Y) (Yellow)";1
278;"100 ml OCP Canon BJC-6000 Photo (BCI-3e PBK) (Photo Black)";1
279;"100 ml OCP Canon BJC-6000 Photo (BCI-3e PC) (Light Cyan)";1
280;"100 ml OCP Canon BJC-6000 Photo (BCI-3e PM) (Light Magenta)";1
281;"100 ml OCP Canon BJC-150, BJC-200, BJC-1000 (BC-01/BC-02/BX-3) (Black)";1
282;"100 ml OCP Canon BJC-150, BJC-200, BJC-1000 (BC-05) (Cyan)";1
283;"100 ml OCP Canon BJC-150, BJC-200, BJC-1000 (BC-05) (Magenta)";1
284;"100 ml OCP Canon BJC-150, BJC-200, BJC-1000 (BC-05) (Yellow)";1
285;"100 ml OCP Canon BJC-600 Serie (BJI-201 Bk) (Black)";1
286;"100 ml OCP Canon BJC-600 Serie (BJI-201 C) (Cyan)";1
287;"100 ml OCP Canon BJC-600 Serie (BJI-201 M) (Magenta)";1
288;"100 ml OCP Canon BJC-600 Serie (BJI-201 Y) (Yellow)";1
289;"100 ml OCP Canon iP2200 er Serie (PG-40/50) (Black)";1
290;"100 ml OCP Canon iP2200 er Serie (CL-41/51) (Cyan)";1
291;"100 ml OCP Canon iP2200 er Serie (CL-41/51) (Magenta)";1
292;"100 ml OCP Canon iP2200 er Serie (CL-41/51) (Yellow)";1
293;"100 ml OCP Canon iP4200 er Serie (PGI-5BK) (Black Pigment)";1
294;"100 ml OCP Canon iP4200 er Serie (CLI -8BK) (Black DYE)";1
295;"100 ml OCP Canon iP4200 er Serie (CLI-8C) (Cyan)";1
296;"100 ml OCP Canon iP4200 er Serie (CLI-8M) (Magenta)";1
297;"100 ml OCP Canon iP4200 er Serie (CLI-8Y) (Yellow)";1
298;"100 ml OCP Canon Pixma iP3600/iP4600 (CLI-521BK/CLI-526BK) (Black DYE)";1
299;"100 ml OCP Canon Pixma iP3600/iP4600 (CLI-521C/CLI-526C) (Cyan)";1
300;"100 ml OCP Canon Pixma iP3600/iP4600 (CLI-521M/CLI-526M) (Magenta)";1
301;"100 ml OCP Canon Pixma iP3600/iP4600 (CLI-521Y /CLI-526Y) (Yellow)";1
302;"100 ml OCP Canon Pixma iP3600/iP4600 (PGI-520BK/PGI-525BK) (Black Pigment)";1
303;"100 ml OCP Canon Pixma iP6700D/Pixma Pro 9000 (CLI-8PC) (Light Cyan)";1
304;"100 ml OCP Canon Pixma iP6700D/Pixma Pro 9000 (CLI-8PM) (Light Magenta)";1
305;"100 ml OCP Canon Pixma MP 980/MP 990 (CLI-521/CLI-526) (Light Grey)";1
306;"100 ml OCP Epson Stylus C64 (pigment) (T0431 T0441 T0321) (Black)";1
307;"100 ml OCP Epson Stylus C64 (pigment) (T0442 T0452 T0322 T0422) (Cyan)";1
308;"100 ml OCP Epson Stylus C64 (pigment) (T0443 T0453 T0323 T0423) (Magenta)";1
309;"100 ml OCP Epson Stylus C64 (pigment) (T0444 T0454 T0324 T0424) (Yellow)";1
310;"100 ml OCP Epson Stylus Color 400/500/600 (S020089) (Cyan)";1
311;"100 ml OCP Epson Stylus Color 400/500/600 (S020089) (Magenta)";1
312;"100 ml OCP Epson Stylus Color 400/500/600 (S020089) (Yellow)";1
313;"100 ml OCP Epson Stylus Color 400/500/600 (S020093) (Black)";1
314;"100 ml OCP Epson Stylus Color 440/860 & C Serie (S020187/S020189) (Black)";1
315;"100 ml OCP Epson Stylus Color 440/860 & C Serie (S020191) (Cyan)";1
316;"100 ml OCP Epson Stylus Color 440/860 & C Serie (S020191) (Magenta)";1
317;"100 ml OCP Epson Stylus Color 440/860 & C Serie (S020191) (Yellow)";1
318;"100 ml OCP Epson Stylus Color 680/685 (T017) (Black)";1
319;"100 ml OCP Epson Stylus Color 680/685 (T018) (Cyan)";1
320;"100 ml OCP Epson Stylus Color 680/685 (T018) (Magenta)";1
321;"100 ml OCP Epson Stylus Color 680/685 (T018) (Yellow)";1
322;"100 ml OCP Epson Stylus Color 880 (T019) (Black)";1
323;"100 ml OCP Epson Stylus Color 880 (T020) (Cyan)";1
324;"100 ml OCP Epson Stylus Color 880 (T020) (Magenta)";1
325;"100 ml OCP Epson Stylus Color 880 (T020) (Yellow)";1
326;"100 ml OCP Epson Stylus Color 900/980 (T003) (Black)";1
327;"100 ml OCP Epson Stylus Color 900/980 (T005) (Cyan)";1
328;"100 ml OCP Epson Stylus Color 900/980 (T005) (Magenta)";1
329;"100 ml OCP Epson Stylus Color 900/980 (T005) (Yellow)";1
330;"100 ml OCP Epson Stylus D68, D78, D88 (T0611/T0711/T1281/T1291) (Black)";1
331;"100 ml OCP Epson Stylus D68, D78, D88 (T0612/T0712/T1282/T1292) (Cyan)";1
332;"100 ml OCP Epson Stylus D68, D78, D88 (T0613/T0713/T1283/T1293) (Magenta)";1
333;"100 ml OCP Epson Stylus D68, D78, D88 (T0614/T0714/T1284/T1294) (Yellow)";1
